platform,event_query,search_keyword,search_page,commenter_nickname,commenter_unique_id,commenter_profile_url,chat_url,source_post_id,source_post_url,source_post_author,source_post_published_at,signal_type,signal_text,signal_url,signal_published_at,intent_label,is_demand,confidence,evidence,recommended_action,outreach_angle,needs_agent_review,review_reason,captured_at
weibo,郑州 汪苏泷,郑州 汪苏泷 没抢到,4,_祝我发财,7880118395,https://weibo.com/7880118395?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7880118395&source_from=,5283603659359272,https://weibo.com/7880118395/Qz4UBDgM0?refer_flag=1001030103_,_祝我发财,04月03日 13:05,post,到底是谁那么好抢呀！！！凤凰传奇两开都没抢到！这还是！难道我们不配看吗！！！#汪苏泷郑州演唱会# ​,https://weibo.com/7880118395/Qz4UBDgM0?refer_flag=1001030103_,04月03日 13:05,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:40:45+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 没抢到,4,lmy嗨皮鸭,2532291677,https://weibo.com/2532291677?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=2532291677&source_from=,5283603712053924,https://weibo.com/2532291677/Qz4UH8CjO?refer_flag=1001030103_,lmy嗨皮鸭,04月03日 13:05,post,屡战屡败 又没抢到汪苏泷超话#明星##郑州##汪苏泷郑州演唱会# ​,https://weibo.com/2532291677/Qz4UH8CjO?refer_flag=1001030103_,04月03日 13:05,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:40:35+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 没抢到,4,小狗斯特,6423651199,https://weibo.com/6423651199?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=6423651199&source_from=,5283251033212383,https://weibo.com/6423651199/QyVJRdtGD?refer_flag=1001030103_,小狗斯特,04月03日 12:43 转赞人数超过200,post,#汪苏泷郑州演唱会抢票#🎵 #汪苏泷明日世界演唱会郑州站# 全体都有手速预备 五月奔赴汪苏泷的明日世界是头等大事🥺🙋‍♀️ 「明日世界」世界巡回演唱会郑州站5月1日-5月3 日预售一抢而空 门票秒售罄。恐怖如汪苏泷。。都抢到了吗？没抢到就明天5月8日-5月10日的场次再接再厉 必须有票！！！ ​ 展开c,https://weibo.com/6423651199/QyVJRdtGD?refer_flag=1001030103_,04月03日 12:43 转赞人数超过200,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:40:24+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 没抢到,3,临湖听雨又听风,7710754782,https://weibo.com/7710754782?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7710754782&source_from=,5283655429654221,https://weibo.com/7710754782/Qz6g6Evvf?refer_flag=1001030103_,临湖听雨又听风,04月03日 16:31,post,最近抢票战绩👇🏻 4.2 张杰北京4.16演唱会 没卖完所以丝滑购入 （我太喜欢在周中晚上开演唱会的歌手了！！！！！） 4.2 汪苏泷郑州5.1演唱会 卡在继续尝试界面几分钟 没抢到 4.3 李荣浩哈尔滨5.3演唱会 卡在继续尝试界面两分钟 没抢到 （李荣浩！！！我很怀念以前纸质票的时候 🥹） 4.3 徐良 ​ 展开c,https://weibo.com/7710754782/Qz6g6Evvf?refer_flag=1001030103_,04月03日 16:31,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:40:04+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 没抢到,3,格格巫的水晶球,1634449864,https://weibo.com/1634449864?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=1634449864&source_from=,5283650042334434,https://weibo.com/1634449864/Qz67q9Nia?refer_flag=1001030103_,格格巫的水晶球,04月03日 16:09,post,汪苏泷超话#汪苏泷郑州站六场门票预售售罄# 没抢到票，天猫旗舰店也没抢到包子 ​,https://weibo.com/1634449864/Qz67q9Nia?refer_flag=1001030103_,04月03日 16:09,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:39:49+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 没抢到,3,_tender_x,5969427638,https://weibo.com/5969427638?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=5969427638&source_from=,5283680912149012,https://weibo.com/5969427638/Qz6Vd913u?refer_flag=1001030103_,_tender_x,04月03日 18:12,post,#汪苏泷明日世界巡回演唱会#郑州连开六场 是谁一张没抢到 是我 ​,https://weibo.com/5969427638/Qz6Vd913u?refer_flag=1001030103_,04月03日 18:12,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:39:36+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 没抢到,3,小迎子1129,5932549517,https://weibo.com/5932549517?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=5932549517&source_from=,5283609911233175,https://weibo.com/5932549517/Qz54H5aNV?refer_flag=1001030103_,小迎子1129,04月03日 13:30,post,#汪苏泷明日世界演唱会郑州站#一开票秒没 连开六场 一场都没抢到 ​,https://weibo.com/5932549517/Qz54H5aNV?refer_flag=1001030103_,04月03日 13:30,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:39:25+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 没抢到,3,不认识不熟的别关注我,2426679823,https://weibo.com/2426679823?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=2426679823&source_from=,5283613000076077,https://weibo.com/2426679823/Qz59G0jN3?refer_flag=1001030103_,不认识不熟的别关注我,04月03日 13:42,post,汪苏泷演唱会超话 二开郑州什么时候俺不中了 没抢到后三天的 ​,https://weibo.com/2426679823/Qz59G0jN3?refer_flag=1001030103_,04月03日 13:42,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:39:15+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 没抢到,2,獭獭我就吃一口,2057553211,https://weibo.com/2057553211?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=2057553211&source_from=,5287352348182592,https://weibo.com/2057553211/QAEqSykFi?refer_flag=1001030103_,獭獭我就吃一口,04月13日 21:21,post,谢谢我自己秘密花园没抢到省一笔郑州汪苏泷没抢到省一笔上海陶喆没抢到再省一笔 ​,https://weibo.com/2057553211/QAEqSykFi?refer_flag=1001030103_,04月13日 21:21,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:38:59+00:00
weibo,郑州 汪苏泷,郑州 汪苏泷 没抢到,2,梦星垂野,9124236530,https://weibo.com/9124236530?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=9124236530&source_from=,5286648373578159,https://weibo.com/9124236530/QAm7rf0Qf?refer_flag=1001030103_,梦星垂野,04月11日 22:44,post,#汪苏泷应援棒遗失补偿#不仅业务能力能打，还很有责任感，把粉丝放心上，以最快的速度沟通解决小泷包好幸福吧🥹其次郑州六天我一天都没抢到还会有二开吗 ​,https://weibo.com/9124236530/QAm7rf0Qf?refer_flag=1001030103_,04月11日 22:44,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T04:38:47+00:00
