platform,event_query,search_keyword,search_page,commenter_nickname,commenter_unique_id,commenter_profile_url,chat_url,source_post_id,source_post_url,source_post_author,source_post_published_at,signal_type,signal_text,signal_url,signal_published_at,intent_label,is_demand,confidence,evidence,recommended_action,outreach_angle,needs_agent_review,review_reason,captured_at
weibo,重庆 陶喆,重庆 陶喆 没抢到,5,Serendipity_Feb,5457574154,https://weibo.com/5457574154?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=5457574154&source_from=,5097107906365772,https://weibo.com/5457574154/OEKdEqI1K?refer_flag=1001030103_,Serendipity_Feb,2024年11月04日 21:58,post,JJ20 谢幕了 但我们约定要再重逢😭 重庆一开没抢到票，二蛋答题没有一遍过的时候我就已经不抱希望了，二开当天晚上冥冥之中感觉自己有票，结果真的抢到了，还是三号收官场，果然“缘分到了自然就见面了” 圆满总结： 听到了暂时的记号，生生，谢幕，一时的选择，一千年后记得我 《因你而在》，《孤独 ​ 展开c,https://weibo.com/5457574154/OEKdEqI1K?refer_flag=1001030103_,2024年11月04日 21:58,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T05:30:08+00:00
weibo,重庆 陶喆,重庆 陶喆 没抢到,5,小狗睡了啦,6258596888,https://weibo.com/6258596888?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=6258596888&source_from=,5136408501554871,https://weibo.com/6258596888/Pfh9o6wuz?refer_flag=1001030103_,小狗睡了啦,2025年02月21日 08:44,post,陶喆超话 重庆场没抢到票，成都场给个机会吧 ​,https://weibo.com/6258596888/Pfh9o6wuz?refer_flag=1001030103_,2025年02月21日 08:44,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T05:29:47+00:00
weibo,重庆 陶喆,重庆 陶喆 没抢到,5,某年may,1569826151,https://weibo.com/1569826151?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=1569826151&source_from=,5141694752495387,https://weibo.com/1569826151/PhuFBatab?refer_flag=1001030103_,某年may,2025年03月07日 22:50,post,#陶喆##陶喆soulpowerii世界巡回演唱会##陶喆演唱会# 继去年重庆后，今天的成都场又没抢到！！！！居然被弹出来了，求加场，求加场，求加场 ​,https://weibo.com/1569826151/PhuFBatab?refer_flag=1001030103_,2025年03月07日 22:50,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T05:29:35+00:00
weibo,重庆 陶喆,重庆 陶喆 没抢到,4,李较瘦李教授,1890531451,https://weibo.com/1890531451?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=1890531451&source_from=,5141705994797492,https://weibo.com/1890531451/PhuXJk82U?refer_flag=1001030103_,李较瘦李教授,2025年03月07日 23:34,post,我就是看不到陶喆了么去年重庆没抢到 今年的成都还是没抢到 ​,https://weibo.com/1890531451/PhuXJk82U?refer_flag=1001030103_,2025年03月07日 23:34,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T05:29:15+00:00
weibo,重庆 陶喆,重庆 陶喆 没抢到,4,床床Cain,7216796786,https://weibo.com/7216796786?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7216796786&source_from=,5162588498559018,https://weibo.com/7216796786/PqgdbzUAG?refer_flag=1001030103_,床床Cain,2025年05月04日 14:34,post,SP2 25成都抢票错过了，接着又抢了贵阳场但是都没抢到，很期待25有计划重庆场。还好天不亡我成都加场了！！太不容易来到现场了，幸运2025今晚就跟老头一起去逃避陶喆超话 @陶喆吧官方微博 #陶喆演唱会##陶喆成都演唱会# 2成都·东安来客运动美食街 ​,https://weibo.com/7216796786/PqgdbzUAG?refer_flag=1001030103_,2025年05月04日 14:34,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T05:29:01+00:00
weibo,重庆 陶喆,重庆 陶喆 没抢到,4,等一场雨cc_,6593764428,https://weibo.com/6593764428?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=6593764428&source_from=,5150352812540380,https://weibo.com/6593764428/Pl7UdaERS?refer_flag=1001030103_,等一场雨cc_,2025年03月31日 20:14,post,朋友圈有些人从去年陶喆重庆开始就发朋友圈说抢不到票到底谁抢到了 前几天成都5.3继续发（关键在这之前他问我要了代拍 还说要抢内场 后面没抢到发朋友圈问谁抢到了 我问他代拍没抢到吗 他说他找了五个朋友都没抢到。。成都加场不出意外又没抢到发个朋友圈“到底谁抢到了”你那么爱200你都舍不得 ​ 展开c,https://weibo.com/6593764428/Pl7UdaERS?refer_flag=1001030103_,2025年03月31日 20:14,明确求票,True,0.79,"['没抢到', '抢不到']",dm_first,从求票/没抢到切入，确认场次、张数与预算,False,,2026-04-21T05:28:46+00:00
weibo,重庆 陶喆,重庆 陶喆 没抢到,4,我就是最大的密度,7963878167,https://weibo.com/7963878167?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7963878167&source_from=,5143058450745377,https://weibo.com/7963878167/Pi49737Ud?refer_flag=1001030103_,我就是最大的密度,2025年03月11日 17:09,post,陈奕迅重庆没抢到 陶喆成都没抢到 我到底干什么行啊！ 内耗住了 ​,https://weibo.com/7963878167/Pi49737Ud?refer_flag=1001030103_,2025年03月11日 17:09,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T05:28:35+00:00
weibo,重庆 陶喆,重庆 陶喆 没抢到,4,不要迷失自己-,7929257267,https://weibo.com/7929257267?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7929257267&source_from=,5164083875944308,https://weibo.com/7929257267/PqT75oWnW?refer_flag=1001030103_,不要迷失自己-,2025年05月08日 17:36,post,抢到告五人 但要去重庆看 我忍了 可是那周末要考试 我就退了 还损失手续费。。抢到张杰 可正好撞上老时六周年第二天 我忍了 因为老时演唱会我也没抢到。。想去陶喆 但抢都没抢 就害怕抢到了 又跟老时的撞上 可老时背刺我开海口去了 我又忍了。。抢到华晨宇的 又偏偏在端午 我怒了。。。为什么感觉自己 ​ 展开c,https://weibo.com/7929257267/PqT75oWnW?refer_flag=1001030103_,2025年05月08日 17:36,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T05:28:25+00:00
weibo,重庆 陶喆,重庆 陶喆 没抢到,3,快乐被我吃掉了,7095507100,https://weibo.com/7095507100?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=7095507100&source_from=,5181223523058514,https://weibo.com/7095507100/Py4ZGcPES?refer_flag=1001030103_,快乐被我吃掉了,2025年06月25日 00:43,post,纪念6.22日陶喆演唱会 soul power ll 🦋 原本想在二十二岁听到现场版的二十二 还好在二十三岁听到了也不算太晚～ 24年那场没抢到的重庆演唱会终于在长沙圆梦 这三小时像是做了一场华丽的梦 陶喆真的太会了 演唱会体验感超棒 要一直唱下去啊陶吉吉 许愿成功 唱了暗恋 还有蝴蝶 流沙 天天 ​ 展开c,https://weibo.com/7095507100/Py4ZGcPES?refer_flag=1001030103_,2025年06月25日 00:43,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T05:28:09+00:00
weibo,重庆 陶喆,重庆 陶喆 没抢到,3,地震实时查询,6309679437,https://weibo.com/6309679437?refer_flag=1001030103_,https://api.weibo.com/chat/#/chat?to_uid=6309679437&source_from=,5189457393484951,https://weibo.com/6309679437/PBxc7eCAT?refer_flag=1001030103_,地震实时查询,2025年07月17日 18:02,post,大清八早爬起来抢王力宏演唱会门票 毫不意外没抢到 这票到底是在抢啊啊啊啊啊 还dream着特种兵看完陶喆第二天就飞回重庆 害 好困 ​,https://weibo.com/6309679437/PBxc7eCAT?refer_flag=1001030103_,2025年07月17日 18:02,疑似求票,True,0.67,['没抢到'],dm_first,从求票/没抢到切入，确认场次、张数与预算,True,信号较弱，建议 agent 二次确认,2026-04-21T05:27:57+00:00
